id,utt,intent,partition
4654,"can you call me a different name, please",change_user_name,test
4655,"ai, my name is deb please use my name when you talk to me",change_user_name,test
4656,ai answer my questions with my name first which is deb,change_user_name,test
4657,"ai, refer to me as deb when answering me",change_user_name,test
4658,"ai, address me as deb when speaking to me",change_user_name,test
4659,"ai, call me deb",change_user_name,test
4660,change my name please,change_user_name,test
4661,please go ahead and change my name,change_user_name,test
4662,please switch my name,change_user_name,test
4663,change name for me,change_user_name,test
4664,my name is going to be sherlock,change_user_name,test
4665,start calling me jake from now on,change_user_name,test
4666,call me shane,change_user_name,test
4667,i want you to call me sheldon,change_user_name,test
4668,i want to be called timothy,change_user_name,test
4669,call me mike from now on,change_user_name,test
4670,where are you coming from,where_are_you_from,test
4671,from where do you come,where_are_you_from,test
4672,what place are you from,where_are_you_from,test
4673,where are you from originally,where_are_you_from,test
4674,"so, where do you come from",where_are_you_from,test
4675,so where do you come from originally,where_are_you_from,test
4676,where do you call home,where_are_you_from,test
4677,what's your home country,where_are_you_from,test
4678,where did you live before you moved here,where_are_you_from,test
4679,are you from here or somewhere else originally,where_are_you_from,test
4680,tell me where you're from,where_are_you_from,test
4681,what area did you come from,where_are_you_from,test
4682,what is your origin,where_are_you_from,test
4683,where was it you were born,where_are_you_from,test
4684,the place you were born is,where_are_you_from,test
4685,what location were you born,where_are_you_from,test
4686,where were you put together,where_are_you_from,test
4687,where is your home planet,where_are_you_from,test
4688,where is your home town,where_are_you_from,test
4689,where were you thought of,where_are_you_from,test
4690,where do you originate from,where_are_you_from,test
4691,where have you come from,where_are_you_from,test
4692,where were you before,where_are_you_from,test
4693,where were you processed,where_are_you_from,test
4694,a hidden government facility,where_are_you_from,test
4695,what region were you born,where_are_you_from,test
4696,from where did you originate,where_are_you_from,test
4697,are you from around here,where_are_you_from,test
4698,in what place are you originally from,where_are_you_from,test
4699,where did you grow up,where_are_you_from,test
4700,tack on a gallon of milk to the grocery list,shopping_list_update,test
4701,add laundry detergent to the list,shopping_list_update,test
4702,make sure to put eggs on the grocery list,shopping_list_update,test
4703,the list should also have 2 loaves of bread,shopping_list_update,test
4704,include asparagus on the list,shopping_list_update,test
4705,remove milk and add eggs to my shopping list,shopping_list_update,test
4706,put milk on my shopping list,shopping_list_update,test
4707,i'd like to add pancake mix to my shopping list if it's not already there,shopping_list_update,test
4708,"if soda isn't on my shopping list, go ahead and add it for me",shopping_list_update,test
4709,add milk to my shopping list,shopping_list_update,test
4710,take toilet paper off my shopping list,shopping_list_update,test
4711,i need to add flour to my list for shopping if i haven't already,shopping_list_update,test
4712,take toilet paper off my shopping list and add paper towels,shopping_list_update,test
4713,i need hot dogs added to my shopping list please,shopping_list_update,test
4714,please put chips on my shopping list,shopping_list_update,test
4715,"is milk in my shopping list if not, add it",shopping_list_update,test
4716,can you add eggs to my shopping list,shopping_list_update,test
4717,add eggs to my shopping list if it's not already there,shopping_list_update,test
4718,i'd like to get soda while i'm out; add it to my shopping list,shopping_list_update,test
4719,"on my shopping list, remove eggs",shopping_list_update,test
4720,i need eggs; add them to my shopping list,shopping_list_update,test
4721,"take soda from my shopping list, and while you're at it add tea",shopping_list_update,test
4722,milk should be added to my shopping list,shopping_list_update,test
4723,"i don't need eggs anymore, but i do need milk",shopping_list_update,test
4724,take paper towels off of my shopping list,shopping_list_update,test
4725,i need milk on my shopping list,shopping_list_update,test
4726,i don't need toilet paper anymore; take it off my shopping list,shopping_list_update,test
4727,"throw eggs on my shopping list, please",shopping_list_update,test
4728,i need water on my shopping list and beer off of it,shopping_list_update,test
4729,i need bananas on the list too,shopping_list_update,test
4730,can you tell me what you can help with,what_can_i_ask_you,test
4731,what things are you able to help me with,what_can_i_ask_you,test
4732,i would like to know what you can help with,what_can_i_ask_you,test
4733,what kind of things can you help with,what_can_i_ask_you,test
4734,i want to know what type of things you can help me with,what_can_i_ask_you,test
4735,please help me to know what type of things you can help me with,what_can_i_ask_you,test
4736,can i know what type of things you can help me with,what_can_i_ask_you,test
4737,i would like to know what type of things you can help me with,what_can_i_ask_you,test
4738,i will be glad to know what type of things you can help me with,what_can_i_ask_you,test
4739,what subjects do you like,what_can_i_ask_you,test
4740,tell me what subjects you like,what_can_i_ask_you,test
4741,please tell me what subjects you like,what_can_i_ask_you,test
4742,so what subjects do you like,what_can_i_ask_you,test
4743,what type of questions can i ask you,what_can_i_ask_you,test
4744,what kinds of things are you familiar with,what_can_i_ask_you,test
4745,what subjects are you experienced in,what_can_i_ask_you,test
4746,what knowledge do you have on certain subjects,what_can_i_ask_you,test
4747,what kid of subjects do you excel in,what_can_i_ask_you,test
4748,what subjects or areas are you familiar with,what_can_i_ask_you,test
4749,which subjects are you the most experienced with,what_can_i_ask_you,test
4750,tell me what you can do for me,what_can_i_ask_you,test
4751,what sorts of tasks can you do,what_can_i_ask_you,test
4752,what can you do for me,what_can_i_ask_you,test
4753,what can you do to make yourself useful,what_can_i_ask_you,test
4754,what would you be able to do with me,what_can_i_ask_you,test
4755,give me examples of what to ask you,what_can_i_ask_you,test
4756,tell me what types of questions i can ask you,what_can_i_ask_you,test
4757,what are you programmed to do for me,what_can_i_ask_you,test
4758,what things do you know how to do,what_can_i_ask_you,test
4759,how can you help me,what_can_i_ask_you,test
4760,undecided,maybe,test
4761,i'm afraid i don't know how to answer that,maybe,test
4762,might,maybe,test
4763,it might go either way,maybe,test
4764,both could be,maybe,test
4765,either or,maybe,test
4766,my answer would be maybe,maybe,test
4767,either one might be,maybe,test
4768,i can't say for certain either way,maybe,test
4769,it could go either way,maybe,test
4770,it's definitely a maybe for that,maybe,test
4771,i am not sure,maybe,test
4772,maybe it is,maybe,test
4773,i can't say,maybe,test
4774,could be,maybe,test
4775,i am unable to say,maybe,test
4776,i am not able to say,maybe,test
4777,i am really not sure,maybe,test
4778,i do not know,maybe,test
4779,not sure,maybe,test
4780,not sure to be honest,maybe,test
4781,i think maybe,maybe,test
4782,"um, i'm not quite sure",maybe,test
4783,"um, i'm not totally sure",maybe,test
4784,"um, i'm not actually sure",maybe,test
4785,i'm not actually sure,maybe,test
4786,"um, i'm not sure",maybe,test
4787,that might be the case,maybe,test
4788,i'm not completely certain,maybe,test
4789,unsure,maybe,test
4790,help me change my oil,oil_change_how,test
4791,what oil should i use for an oil change and how do i do it,oil_change_how,test
4792,how do i do an oil change,oil_change_how,test
4793,diy oil change,oil_change_how,test
4794,how to do an oil change,oil_change_how,test
4795,give me instructions for an oil change,oil_change_how,test
4796,diy oil change and oil type,oil_change_how,test
4797,oil type and do it yourself oil change information please,oil_change_how,test
4798,i want to know how to change my oil,oil_change_how,test
4799,can you tell me how to change my oil and what kind i use,oil_change_how,test
4800,how to change oil and what oil type,oil_change_how,test
4801,can you please instruct me on the proper way to change the oil in my car,oil_change_how,test
4802,i need guidance on changing my oil,oil_change_how,test
4803,i want a step by step explanation of how to change the oil in my car,oil_change_how,test
4804,can you teach me how to change my oil,oil_change_how,test
4805,can you teach me how to change my oil in my car,oil_change_how,test
4806,help me figure out how to change my oil,oil_change_how,test
4807,walk me through the steps involved in changing my oil,oil_change_how,test
4808,give me step by step instructions for changing my oil,oil_change_how,test
4809,i want to change the oil in my car but i do not know how to do it can you help,oil_change_how,test
4810,put together a list of instructions for me on how to change the oil in my car,oil_change_how,test
4811,"is it possible to change oil, if so how and what do i use",oil_change_how,test
4812,what oil do i use when changing oil and how do i do it,oil_change_how,test
4813,how would i replace my oil and what sort of oil should i use,oil_change_how,test
4814,"can you change the oil, with what and how",oil_change_how,test
4815,how could i replace my oil and what form of oil ought to i take advantage of,oil_change_how,test
4816,can you tell me how to change my oil please,oil_change_how,test
4817,how do i change my oil,oil_change_how,test
4818,please let me know how to change the oil,oil_change_how,test
4819,i need to know how to change oil in a car,oil_change_how,test
4820,"i'd like to make a reservation at rooth chris, can you do that",restaurant_reservation,test
4821,make a reservation for chik-fil-a at 3 o' clock please,restaurant_reservation,test
4822,reserve a table for 3 at 7 for olive garden,restaurant_reservation,test
4823,will you reserve a table at olive garden for 3 people at 7,restaurant_reservation,test
4824,"at 7, i need a table for 3 at olive garden",restaurant_reservation,test
4825,i need a table for 3 at olive garden for 7,restaurant_reservation,test
4826,get a table for me at 7 for 3 people at olive garden,restaurant_reservation,test
4827,reserve table for 5 at red robin under the name sara at 3,restaurant_reservation,test
4828,reverse a table for 5 at burger king under the name sara at 6,restaurant_reservation,test
4829,can you reserve a table for 6 at red robin under the name mavrick at 5 clock,restaurant_reservation,test
4830,could you reserve table for 3 at carlos jr under the name adam at 4,restaurant_reservation,test
4831,i want to reserve table for 5 at red robin under the name sara at 5,restaurant_reservation,test
4832,i need a table for two at the havana at nine,restaurant_reservation,test
4833,look for me a table at carl's cabin for twelve at eight,restaurant_reservation,test
4834,i need a table at gemma for nine at two,restaurant_reservation,test
4835,book me a table for three at rainforest cafe at seven,restaurant_reservation,test
4836,get me a table for five at itta bena at three,restaurant_reservation,test
4837,"5 people are going to be at tropicana by 8pm, reserve the table under martins name please",restaurant_reservation,test
4838,use martins name to reserve a table at tropicana for 5 people at 8pm,restaurant_reservation,test
4839,reserve a table at tropicana for 5 people under the name martins for 8pm,restaurant_reservation,test
4840,martins needs a table for 5 people at tropicana at 8pm precisely,restaurant_reservation,test
4841,the table should be reserved at 8pm at tropicana using martins name and it should be for 5 people,restaurant_reservation,test
4842,are there any open reservations at outback tonight,restaurant_reservation,test
4843,make a reservation for 2 tonight at 7:00 at outback steakhouse,restaurant_reservation,test
4844,michael will reserve a table for two at 7:00pm for olive garden,restaurant_reservation,test
4845,a table for two needs to be reserved for 7:00pm at olive garden using the name michael,restaurant_reservation,test
4846,please reserve a table for two at olive garden at 7:00pm for michael,restaurant_reservation,test
4847,get reservations at olive garden for two at 7:00pm under michael,restaurant_reservation,test
4848,reservations for two need to be made using michael's name for 7:00pm at olive garden,restaurant_reservation,test
4849,i want to eat at seven in the restaurant for two people,restaurant_reservation,test
4850,what are my coffers at,balance,test
4851,tell me the current balance of my bank accounts,balance,test
4852,what's my current bank account total,balance,test
4853,how much do i have in my bank accounts,balance,test
4854,what's the balance in my bank accounts,balance,test
4855,what do i have in my bank accounts right now,balance,test
4856,is there enough in my wells fargo account to buy some nike's,balance,test
4857,do i have enough in my wells fargo account to get some nike's,balance,test
4858,do i have money in my wells fargo account for nike's,balance,test
4859,"i want some nike's, is there enough in my wells fargo account",balance,test
4860,check my wells fargo account to see if i have enough for these nike's,balance,test
4861,would you tell me my bank balance,balance,test
4862,can you tell me my bank balance,balance,test
4863,will you let me know my bank balance,balance,test
4864,will you tell me my bank balance,balance,test
4865,how much money is there in my bank accounts,balance,test
4866,how much money do i have in my various bank accounts,balance,test
4867,how much cash do i have in my various bank accounts,balance,test
4868,how much cash do i have in my bank accounts,balance,test
4869,how much dough do i have in my bank accounts,balance,test
4870,whats the combined total of the money inside my bank accounts,balance,test
4871,whats my bank accounts look like,balance,test
4872,how much moola is in my bank accounts,balance,test
4873,what the numerical number inside my bank accounts,balance,test
4874,how much does my bank account have,balance,test
4875,tell me the current account balance,balance,test
4876,check my checking balance,balance,test
4877,how much do i have left in my checking account,balance,test
4878,what's my checking look like,balance,test
4879,how much do i have in my savings account,balance,test
4880,confirm my reservation for march 12 at 9:00 am,confirm_reservation,test
4881,please confirm that i have a reservation for march 1st at 7,confirm_reservation,test
4882,can you confirm that i have a reservation for february 21 at 6 o'clock,confirm_reservation,test
4883,verify my reservation for smith and wollensky at 6:45,confirm_reservation,test
4884,please confirm my reservation for bar les freres at 7,confirm_reservation,test
4885,tell me whether or not i have a reservation at gramercy tavern for tad,confirm_reservation,test
4886,can you confirm that i have a reservation for 2/20 at 6:00 pm,confirm_reservation,test
4887,please tell me if i still have a reservation at acero for susie,confirm_reservation,test
4888,please confirm my reservation at brio for theodore,confirm_reservation,test
4889,confirm my reservation for acero at 7,confirm_reservation,test
4890,please confirm that i have a reservation for 2/20 at 6:00 pm,confirm_reservation,test
4891,confirm that there is a reservation at bellagio for thomas,confirm_reservation,test
4892,can you confirm the reservation at fleming's for jane,confirm_reservation,test
4893,are there reservation for joe and will,confirm_reservation,test
4894,please verify my reservation for john at bardenay,confirm_reservation,test
4895,will you call and check on my reservation for john at bardenay,confirm_reservation,test
4896,is my reservation set for john at bardenay,confirm_reservation,test
4897,do we know if my reservation for john at bardenay was accepted,confirm_reservation,test
4898,has my reservation for john at bardenay been confirmed,confirm_reservation,test
4899,"let's try and confirm my reservation for bubble bar under ""franklin",confirm_reservation,test
4900,i need to confirm my reservation for red lobster for frank,confirm_reservation,test
4901,"find my reservation for steve at crucere's and confirm it, please",confirm_reservation,test
4902,confirm the john reservation at applebee's,confirm_reservation,test
4903,i'd like to confirm the josh reservation at moe's,confirm_reservation,test
4904,i have a reservation for strip house for jennifer that i'd like to confirm,confirm_reservation,test
4905,please try to confirm my reservation for jim at barney's,confirm_reservation,test
4906,confirm my reservation for joe at hoss's,confirm_reservation,test
4907,i need to confirm the reservation for frank at chili's,confirm_reservation,test
4908,i'll be confirming my reservation for joseph at red lobster,confirm_reservation,test
4909,is there a reservation for mark at mimis,confirm_reservation,test
4910,can you freeze my bank account,freeze_account,test
4911,i want to freeze my bank account,freeze_account,test
4912,i want my account locked out,freeze_account,test
4913,stop all access to my account,freeze_account,test
4914,i need my account frozen!,freeze_account,test
4915,i need to lock my account right now!,freeze_account,test
4916,please force my account to freeze,freeze_account,test
4917,please stop my account,freeze_account,test
4918,please allow my account to freeze,freeze_account,test
4919,please put my account on hold,freeze_account,test
4920,freeze my account at the bank immediately,freeze_account,test
4921,would you be able to freeze my bank account,freeze_account,test
4922,my account at the bank needs to be frozen,freeze_account,test
4923,please block my discover account immediately,freeze_account,test
4924,please put a block on my citi account immediately,freeze_account,test
4925,block my american saving bank for now,freeze_account,test
4926,block my bank of america immdediately,freeze_account,test
4927,put a block on bank of amerian immediately,freeze_account,test
4928,my account needs to be frozen,freeze_account,test
4929,freeze my account for me,freeze_account,test
4930,put a freeze on my account,freeze_account,test
4931,could you please put a stop on my bank account,freeze_account,test
4932,i need to put a stop on my bank account,freeze_account,test
4933,are you able to put a stop on my bank account,freeze_account,test
4934,please put a stop on my bank account,freeze_account,test
4935,i am hoping you can put a stop on my bank account,freeze_account,test
4936,please put a freeze on my banking account,freeze_account,test
4937,i need my bank account frozen,freeze_account,test
4938,how do i freeze my bank account,freeze_account,test
4939,would you freeze my bank account,freeze_account,test
4940,"i heard i can transfer my 401k, but don't know how, do you",rollover_401k,test
4941,"i need some help with transferring my 401k, can you help",rollover_401k,test
4942,can you tell me how to transfer my 401k,rollover_401k,test
4943,i want to transfer my 401k,rollover_401k,test
4944,i wanna transfer my 401k,rollover_401k,test
4945,i have to rollover my 401k,rollover_401k,test
4946,i must rollover my 401k,rollover_401k,test
4947,i want help to transfer my 401k,rollover_401k,test
4948,help me to transfer my 401k,rollover_401k,test
4949,i will rollover my 401k,rollover_401k,test
4950,i need help to transfer my 401k,rollover_401k,test
4951,i want to rollover my 401k,rollover_401k,test
4952,how do i transfer my 401k to a new firm,rollover_401k,test
4953,how do i roll over my 401k,rollover_401k,test
4954,can i move my 401k to an ira,rollover_401k,test
4955,how do i do a 401(k) rollover,rollover_401k,test
4956,can 401ks be moved,rollover_401k,test
4957,can i transfer my 401k somewhere,rollover_401k,test
4958,how do i switch 401k companies,rollover_401k,test
4959,tell me how to roll over my 401k,rollover_401k,test
4960,how can i transfer my 401k,rollover_401k,test
4961,what are the steps to rollover my 401k,rollover_401k,test
4962,"my 401k, can i roll it over",rollover_401k,test
4963,"i want to rollover my 401k , can i",rollover_401k,test
4964,help me rollover my 401k,rollover_401k,test
4965,do you know the process to rollover my 401k,rollover_401k,test
4966,tell me how to rollover my 401k,rollover_401k,test
4967,my 401k needs to rollover and i need your help,rollover_401k,test
4968,let me know how to rollover my 401k,rollover_401k,test
4969,what do i have to do to transfer my 401k,rollover_401k,test
4970,what company made this ai,who_made_you,test
4971,what is the name of the person who made you,who_made_you,test
4972,who is the person that brought you to life,who_made_you,test
4973,who is the one that made you,who_made_you,test
4974,who is your maker,who_made_you,test
4975,which company made you,who_made_you,test
4976,who assembled you,who_made_you,test
4977,i wanna know who programmed you,who_made_you,test
4978,let me know who programmed you,who_made_you,test
4979,who made you,who_made_you,test
4980,i wanna know your maker,who_made_you,test
4981,who was your maker,who_made_you,test
4982,who is the one who programmed you,who_made_you,test
4983,i must know who programmed you,who_made_you,test
4984,tell me who your maker was,who_made_you,test
4985,what was the company that designed you,who_made_you,test
4986,do you know what company were you designed by,who_made_you,test
4987,let me know which company were you designed by,who_made_you,test
4988,what company were you designed by,who_made_you,test
4989,can you let me know what company were you designed by,who_made_you,test
4990,which company were you designed by,who_made_you,test
4991,tell me who made you please,who_made_you,test
4992,can you tell me who made you,who_made_you,test
4993,whats the name of the person who made you,who_made_you,test
4994,what company did the design for this,who_made_you,test
4995,what company did this design,who_made_you,test
4996,what company is responsible for this design,who_made_you,test
4997,what company designed this,who_made_you,test
4998,"for this design, what company did it",who_made_you,test
4999,name the person or group that programmed you,who_made_you,test
5000,which way do we go and how long will it take to get to the sears tower in chicago,distance,test
5001,"so, does it take long to get to dodger stadium in anaheim",distance,test
5002,how many minutes will it take to get to the empire state building in manhattan,distance,test
5003,what's the mileage to get the the taj mahal in atlantic city,distance,test
5004,does it take long to get to yankee stadium in the bronx,distance,test
5005,how much time is left until we get there,distance,test
5006,what's the time to destination going via bus to omaha,distance,test
5007,how far from our destination are we,distance,test
5008,how many minutes am i from texaco,distance,test
5009,how long will i be on the bus if i rid it to seattle,distance,test
5010,is it going to be much longer until i reach the bank,distance,test
5011,am i close to arriving at the post office,distance,test
5012,what's the estimated travel time to get to dc via bus,distance,test
5013,when will i arrive at hy-vee,distance,test
5014,how long does it take to get to el paso on a bus,distance,test
5015,how long will it take me to get to walmart,distance,test
5016,what's the average time to boston when riding a bus,distance,test
5017,when will the bus get me to vermont,distance,test
5018,how long will i be on the bus to new orleans,distance,test
5019,how long is a bus ride to staples,distance,test
5020,how long does it take to get downtown by bus,distance,test
5021,what time will i get to the beach taking the bus,distance,test
5022,how far am i from orlando,distance,test
5023,give me an eta on when i will arrive at my destination,distance,test
5024,tell me how much longer i will have to drive to reach the destination,distance,test
5025,when will i get to orlando,distance,test
5026,how much farther is orlando from my location,distance,test
5027,do i have a ways to go or am i close to getting to penn station,distance,test
5028,please give me the approximate amount of time i will need to go from jfk international airport to penn station,distance,test
5029,can you tell me about what time i should be arriving at the airport,distance,test
5030,how do you refer to me,user_name,test
5031,call my name,user_name,test
5032,what do i go by,user_name,test
5033,say my name,user_name,test
5034,what do you think my name is,user_name,test
5035,what do you think i'm called,user_name,test
5036,what do you have for my name,user_name,test
5037,how do you address my name,user_name,test
5038,what's your designation,user_name,test
5039,what do you call me,user_name,test
5040,i want to hear my name,user_name,test
5041,my name,user_name,test
5042,what's my name,user_name,test
5043,what's my name on file,user_name,test
5044,what name do you have for me,user_name,test
5045,what did i tell you to call me,user_name,test
5046,please tell me the name that you have for me,user_name,test
5047,i need to know the name that you have for me,user_name,test
5048,can you tell me what name you have for me,user_name,test
5049,tell me what name you have for me,user_name,test
5050,i would like to know the name you have for me,user_name,test
5051,what is the name you have for me,user_name,test
5052,could you tell me my name,user_name,test
5053,do you have a name for me,user_name,test
5054,can you tell me my name for me,user_name,test
5055,what's the name you use for me,user_name,test
5056,you call me what,user_name,test
5057,what do you know me by,user_name,test
5058,you know me by what right now,user_name,test
5059,what's the way you refer to me,user_name,test
5060,what's the timezone for britain,timezone,test
5061,i need the time zone for la,timezone,test
5062,i would like to know the timezone for britain,timezone,test
5063,i need la's time zone,timezone,test
5064,i need to know britain's timezone,timezone,test
5065,what timezone is britain in,timezone,test
5066,can you tell me britain's timezone,timezone,test
5067,what is the la's time zone,timezone,test
5068,can you tell me the time zone for la,timezone,test
5069,what is texas's timezone,timezone,test
5070,tell me the timezone for california,timezone,test
5071,what timezone would missouri be in,timezone,test
5072,what timezone do they use in arizona,timezone,test
5073,is new york in mountain timezone,timezone,test
5074,what is the timezone for la,timezone,test
5075,what is the timezone for new york,timezone,test
5076,what is the timezone for san francisco,timezone,test
5077,what is the timezone for paris,timezone,test
5078,what is the timezone for houston,timezone,test
5079,denver's timezone is what,timezone,test
5080,does denver reside in the eastern timezones,timezone,test
5081,which timezone is denver located,timezone,test
5082,"denver's timezone is a mystery, i wonder where its located",timezone,test
5083,in which time zone does denver reside,timezone,test
5084,what's the timezone in valencia,timezone,test
5085,what's the timezone now in hiram,timezone,test
5086,timezone in salt lake city,timezone,test
5087,timezone currently in mobile,timezone,test
5088,what time is it in phoenix,timezone,test
5089,can you give me the timezone for the country,timezone,test
5090,"i don't like this song, can skip it",next_song,test
5091,can we move onto the next song,next_song,test
5092,"skip this song, please",next_song,test
5093,can you swipe to the next song,next_song,test
5094,"next song, please!",next_song,test
5095,start the next song,next_song,test
5096,go to the next song and play it,next_song,test
5097,move forward one song,next_song,test
5098,play the next one,next_song,test
5099,skip to next track,next_song,test
5100,skip ahead one song,next_song,test
5101,go to upcoming song,next_song,test
5102,play the next song please,next_song,test
5103,i dont want to listen to this song,next_song,test
5104,could you hit next,next_song,test
5105,can you go to the next song,next_song,test
5106,let's go to the next song please,next_song,test
5107,maybe we can go to the next song,next_song,test
5108,may i suggest we go to the next song,next_song,test
5109,please can we go to the next song,next_song,test
5110,might we go to the next song,next_song,test
5111,next track,next_song,test
5112,skip to the next track,next_song,test
5113,skip this track,next_song,test
5114,play next song,next_song,test
5115,next song,next_song,test
5116,change this song please,next_song,test
5117,i want you to play the next song,next_song,test
5118,play the next song please if you would,next_song,test
5119,please play the next track,next_song,test
5120,i need to know all my spending transactions,transactions,test
5121,when did i last make a purchase,transactions,test
5122,how much did i spend on my most recent transaction,transactions,test
5123,show me my ten most recent transactions on account xyz,transactions,test
5124,i want to see all transactions in the past month for all accounts,transactions,test
5125,show me my recent transactions from account xyz,transactions,test
5126,open bank app and show my most recent transactions,transactions,test
5127,are you able to find my recent transactions for me,transactions,test
5128,i made a transaction recently,transactions,test
5129,what was my recent transaction,transactions,test
5130,i want to know what my recent transaction was,transactions,test
5131,i need information about my recent transaction,transactions,test
5132,state recent transaction,transactions,test
5133,is my visa bill over my limit this month,transactions,test
5134,what have i spent things on,transactions,test
5135,show my transactions,transactions,test
5136,what were my last 10 charges on my credit card,transactions,test
5137,show what i have spent things on,transactions,test
5138,how much have i spent on my debit card this month,transactions,test
5139,how much have i spent on my bank card sine i last paid my bill,transactions,test
5140,how much was my last target trip,transactions,test
5141,can you verify my recent visa card transaction,transactions,test
5142,what was my recent transaction on my visa card,transactions,test
5143,what is the last transaction on my visa card,transactions,test
5144,show my my most recent visa card transaction,transactions,test
5145,please review my recent visa card transaction,transactions,test
5146,how many transactions do i have on flower shops from last wednesday between 2pm and 7pm,transactions,test
5147,what transactions did i make on electronics this morning after 6am,transactions,test
5148,what is the largest transaction i have made on video games this month,transactions,test
5149,what transactions do i have on groceries from yesterday,transactions,test
5150,please give me the name of a few good options for places to eat dinner tonight,restaurant_suggestion,test
5151,i need some suggestions for dinner places tonight,restaurant_suggestion,test
5152,what are some good places to go out for dinner in my area tonight,restaurant_suggestion,test
5153,show me some restaurants that have high reviews for eating out,restaurant_suggestion,test
5154,can you search recommended casual restaurants for tonight in philadelphia,restaurant_suggestion,test
5155,where can i go to eat,restaurant_suggestion,test
5156,where can i get some good food,restaurant_suggestion,test
5157,"in cleveland, are there any good places that serve clams",restaurant_suggestion,test
5158,does cleveland have any good places that serve clams,restaurant_suggestion,test
5159,can you find any good places in cleveland that serve clams,restaurant_suggestion,test
5160,are there good clam places in cleveland,restaurant_suggestion,test
5161,are there any good places in cleveland that serve clams,restaurant_suggestion,test
5162,"could you suggest a french restaurant, please",restaurant_suggestion,test
5163,can you suggest a french restaurant,restaurant_suggestion,test
5164,can you suggest a thai restaurant,restaurant_suggestion,test
5165,"can you suggest a french restaurant, please",restaurant_suggestion,test
5166,"can you suggest a thai restaurant, please",restaurant_suggestion,test
5167,are there are any good places in washington that serve cheese pizza,restaurant_suggestion,test
5168,what's the food can easily get in canada,restaurant_suggestion,test
5169,what are the best places to get shrimp in chicago,restaurant_suggestion,test
5170,what are the best restaurants open tonight,restaurant_suggestion,test
5171,i need a list of good places to eat near me,restaurant_suggestion,test
5172,pull up some recommendations for places serving fish in maine,restaurant_suggestion,test
5173,where should i go for food tonight,restaurant_suggestion,test
5174,where should i eat,restaurant_suggestion,test
5175,any fantastic restaurants to get shrimp at in atlanta,restaurant_suggestion,test
5176,give me a list of places that serve the best wings in charlotte,restaurant_suggestion,test
5177,i need reviews for places serving tacos in chicago,restaurant_suggestion,test
5178,give me restaurant reccomendations,restaurant_suggestion,test
5179,where can i satisfy my craving for french food in milwaukee,restaurant_suggestion,test
5180,x card has earned how many points,rewards_balance,test
5181,can you give me a points update on my rewards plus card,rewards_balance,test
5182,can you pull up how many points i've earned with travel card,rewards_balance,test
5183,what is the updated points that i earned with synovus card,rewards_balance,test
5184,how many points do i have on my six flags rewards card,rewards_balance,test
5185,i would like to check my rewards for my credit card,rewards_balance,test
5186,i need to check my rewards for my credit card,rewards_balance,test
5187,i wanna know how many points have i earned with my credit card,rewards_balance,test
5188,i would like to know my debit card's rewards balance,rewards_balance,test
5189,i would like to know how many points have i earned with my credit card,rewards_balance,test
5190,i need to know my credit card's rewards balance,rewards_balance,test
5191,i wanna know my credit card's rewards balance,rewards_balance,test
5192,i really need to check my rewards for my credit card,rewards_balance,test
5193,i would like to check my rewards for my debit card,rewards_balance,test
5194,i wish to know my debit card's rewards balance,rewards_balance,test
5195,i wanna check my rewards for my credit card,rewards_balance,test
5196,tell me my debit card's rewards balance,rewards_balance,test
5197,i need to understand how many points have i earned with my credit card,rewards_balance,test
5198,i must know how many points have i earned with my credit card,rewards_balance,test
5199,i gotta know how many points i have gotten with my debit card,rewards_balance,test
5200,how many points earned do i have with my american express card,rewards_balance,test
5201,how many points have i earned with my paypal credit card so far,rewards_balance,test
5202,i have points on my capital one card and i'd like to know how many i've earned,rewards_balance,test
5203,"have i earned points with my venture card, and how many",rewards_balance,test
5204,what do my visa points look like,rewards_balance,test
5205,how many points do i have on my visa,rewards_balance,test
5206,tell me the number of points on my visa card,rewards_balance,test
5207,give me the point total on my visa card,rewards_balance,test
5208,what points have i earned on my visa,rewards_balance,test
5209,how many rewards points do i have on my rewards points i have on my mastercard,rewards_balance,test
5210,i have a car payment that needs to be paid,pay_bill,test
5211,i need to put in a payment towards my phone bill,pay_bill,test
5212,help me get my gas bill paid,pay_bill,test
5213,pay my con edison bill using my capital one account,pay_bill,test
5214,"use my navy federal account and pay this month's verizon bill, please",pay_bill,test
5215,please pay my sprint bill using my bank of america checking account,pay_bill,test
5216,i need some assistance paying my utilities bill,pay_bill,test
5217,i need a hand getting this gas bill paid,pay_bill,test
5218,can you help me pay my electricity bill,pay_bill,test
5219,i have to pay my water bill but need help doing it,pay_bill,test
5220,i am going to need help paying my rent bill,pay_bill,test
5221,i want to pay my bill,pay_bill,test
5222,can you help me pay my bill,pay_bill,test
5223,i want to pay my bill through the app,pay_bill,test
5224,pay my electric bill for me,pay_bill,test
5225,"pull up my electric bill, i want to pay it",pay_bill,test
5226,how do i pay my electric bill,pay_bill,test
5227,"i want to pay my electric bill, can you do it for me",pay_bill,test
5228,pay my light bill,pay_bill,test
5229,pay my utility bill from my bank account,pay_bill,test
5230,charge my internet bill to the corporate account,pay_bill,test
5231,pay my gas bill with my checking account,pay_bill,test
5232,i need to pay my electric bill,pay_bill,test
5233,i know i should pay my electric bill,pay_bill,test
5234,"today my electric bill will be paid, or should be",pay_bill,test
5235,today is the day i should pay my electric bill,pay_bill,test
